"","Micro_1","CAM_2","Micro_3","Micro_2","Micro_4","CAM_1","CAM_like_3","CAM_like_2","CAM_like_1","Micro_like"
"AHR",0.00609570252971655,0.182432432432432,0.00134649910233393,0.0415973377703827,0.004149377593361,0.13125,0.601722282023681,0.926113360323887,0.727531285551763,0.14381956649092
"ATF3",0.0136137356497003,0.403716216216216,0.00359066427289048,0.0549084858569052,0.385892116182573,0.08125,0.964477933261572,0.931511470985155,0.972696245733788,0.973637961335677
"BACH1",0.00132073554810525,0.0658783783783784,0.000448833034111311,0.0124792013311148,0,0.015625,0.179224973089343,0.586032388663968,0.241183162684869,0.000878734622144112
"BCLAF1",0.000711165295133598,0,0,0.00249584026622296,0.336099585062241,0,0.0419806243272336,0.0226045883940621,0.0568828213879408,0.100468658465144
"BHLHE40",0.0132073554810525,0.628378378378378,0.0040394973070018,0.0540765391014975,0.012448132780083,0.1375,0.994079655543595,0.998650472334683,0.981797497155859,0.941124780316345
"BRCA1",0.0480544549425988,0.0287162162162162,0.0745062836624776,0.0482529118136439,0.120331950207469,0.046875,0.0430570505920344,0.00742240215924426,0.0324232081911263,0.083186877562976
"ELF2",0.153814893833181,0.662162162162162,0.179084380610413,0.164725457570715,0.128630705394191,0.184375,0.407965554359526,0.309041835357625,0.156996587030717,0.0834797891036907
"EP300",0.372447424565681,0.714527027027027,0.491472172351885,0.39018302828619,0.149377593360996,0.525,0.119483315392896,0.0371120107962213,0.0472127417519909,0.0246045694200351
"FOS",0.000914355379457483,0,0,0.00166389351081531,0.622406639004149,0.003125,0.0457481162540366,0.0151821862348178,0.0762229806598407,0.351493848857645
"FOSB",0.00487656202377324,0.00844594594594595,0.000897666068222621,0.0166389351081531,0.170124481327801,0.003125,0.255651237890204,0.355263157894737,0.254266211604096,0.394844756883421
"FOSL2",0.0109722645534898,0.422297297297297,0.00179533213644524,0.0524126455906822,0.012448132780083,0.56875,0.993003229278794,0.998313090418354,0.996587030716723,0.963093145869947
"FOXO1",0,0.778716216216216,0.000448833034111311,0.00166389351081531,0,0.009375,0.230355220667384,0.0229419703103914,0.00455062571103527,0
"HIVEP1",0.00243828101188662,0.891891891891892,0.00134649910233393,0.0183028286189684,0,0.175,0.641550053821313,0.598515519568151,0.250853242320819,0.00292911540714704
"IRF1",0.0111754546378137,0.956081081081081,0.00134649910233393,0.0515806988352745,0.016597510373444,0.209375,0.997308934337998,0.999662618083671,0.995449374288965,0.977152899824253
"IRF7",0.0121914050594331,0.869932432432432,0.00269299820466786,0.0532445923460899,0.024896265560166,0.271875,0.996232508073197,0.999325236167341,0.998293515358362,0.978910369068541
"IRF8",0.152290968200752,0.0236486486486486,0.197935368043088,0.181364392678869,0.327800829875519,0.1,0.183530678148547,0.139338731443995,0.159840728100114,0.545108377270064
"JUND",0.0263131159199431,0.478040540540541,0.00942549371633752,0.0607321131447587,0.132780082987552,0.140625,0.924111948331539,0.967273954116059,0.934584755403868,0.951669595782074
"NR3C1",0.978766636188154,0.54222972972973,0.991023339317774,0.953410981697171,0.979253112033195,0.971875,0.186221743810549,0.169028340080972,0.257679180887372,0.382249560632689
"POLR2A",0.0708117443868739,0.0253378378378378,0.0565529622980251,0.0707154742096506,0.962655601659751,0.021875,0.190527448869752,0.0384615384615385,0.120591581342435,0.340070298769772
"PPARD",0.977852280808697,0.0422297297297297,0.962746858168761,0.933444259567388,0.734439834024896,0.740625,0.00269106566200215,0.000674763832658569,0.00398179749715586,0.0222612770943175
"RB1",0.979680991567611,0.324324324324324,0.970825852782765,0.948419301164726,0.991701244813278,0.946875,0.227664155005382,0.0543184885290148,0.270193401592719,0.618336262448741
"RUNX3",0.00213349588540079,0.918918918918919,0.00269299820466786,0.0232945091514143,0.004149377593361,0.0625,0.828848223896663,0.556005398110661,0.36518771331058,0.0231400117164616
"STAT1",0.0133089505232145,0.513513513513513,0.00314183123877917,0.0532445923460899,0.0788381742738589,0.109375,0.993541442411195,0.998987854251012,0.989761092150171,0.95518453427065
"ZBTB7A",0.00203190084323885,0.878378378378378,0.00763016157989228,0.0183028286189684,0.004149377593361,0,0.79978471474704,0.332321187584345,0.195676905574517,0.0234329232571763
"ZMIZ1",0.00751803311998374,0.251689189189189,0.0224416517055655,0.0274542429284526,0.00829875518672199,0.1625,0.385898815931109,0.703441295546559,0.633105802047782,0.117750439367311
